x;iteration;;;;;;;;;;;;;;;;
1E+29;52;;;;;;;;;;;;;;;;
1E+30;54;;;;;;;;;;;;;;;;
1E+31;56;;;;;;;;;;;;;;;;
1E+32;57;;;;;;;;;;;;;;;;
1E+33;59;;;;;;;;;;;;;;;;
1E+34;61;;;;;;;;;;;;;;;;
1E+35;62;;;;;;;;;;;;;;;;
1E+36;64;;;;;;;;;;;;;;;;
1E+37;66;;;;;;;;;;;;;;;;
1E+38;67;;;;;;;;;;;;;;;;
1E+39;69;;;;;;;;;;;;;;;;
1E+40;71;;;;;;;;;;;;;;;;
1E+41;72;;;;;;;;;;;;;;;;
1E+42;74;;;;;;;;;;;;;;;;
1E+43;75;;;;;;;;;;;;;;;;
1E+44;77;;;;;;;;;;;;;;;;
1E+45;79;;;;;;;;;;;;;;;;
1E+46;80;;;;;;;;;;;;;;;;
1E+47;82;;;;;;;;;;;;;;;;
1E+48;84;;;;;;;;;;;;;;;;
1E+49;85;;;;;;;;;;;;;;;;
1E+50;87;;;;;;;;;;;;;;;;
1E+51;89;;;;;;;;;;;;;;;;
1E+52;90;;;;;;;;;;;;;;;;
1E+53;92;;;;;;;;;;;;;;;;
1E+54;94;;;;;;;;;;;;;;;;
1E+55;95;;;;;;;;;;;;;;;;
1E+56;97;;;;;;;;;;;;;;;;
1E+57;99;;;;;;;;;;;;;;;;
1E+58;100;;;;;;;;;;;;;;;;
1E+59;102;;;;;;;;;;;;;;;;
1E+60;104;;;;;;;;;;;;;;;;
1E+61;105;;;;;;;;;;;;;;;;
1E+62;107;;;;;;;;;;;;;;;;
1E+63;109;;;;;;;;;;;;;;;;
1E+64;110;;;;;;;;;;;;;;;;
1E+65;112;;;;;;;;;;;;;;;;
1E+66;114;;;;;;;;;;;;;;;;
1E+67;115;;;;;;;;;;;;;;;;
1E+68;117;;;;;;;;;;;;;;;;
1E+69;119;;;;;;;;;;;;;;;;
1E+70;120;;;;;;;;;;;;;;;;
1E+71;122;;;;;;;;;;;;;;;;
1E+72;124;;;;;;;;;;;;;;;;
1E+73;125;;;;;;;;;;;;;;;;
1E+74;127;;;;;;;;;;;;;;;;
1E+75;129;;;;;;;;;;;;;;;;
1E+76;130;;;;;;;;;;;;;;;;
1E+77;132;;;;;;;;;;;;;;;;
1E+78;134;;;;;;;;;;;;;;;;
1E+79;135;;;;;;;;;;;;;;;;
1E+80;137;;;;;;;;;;;;;;;;
1E+81;139;;;;;;;;;;;;;;;;
1E+82;140;;;;;;;;;;;;;;;;
1E+83;142;;;;;;;;;;;;;;;;
1E+84;144;;;;;;;;;;;;;;;;
1E+85;145;;;;;;;;;;;;;;;;
1E+86;147;;;;;;;;;;;;;;;;
1E+87;149;;;;;;;;;;;;;;;;
1E+88;150;;;;;;;;;;;;;;;;
1E+89;152;;;;;;;;;;;;;;;;
1E+90;154;;;;;;;;;;;;;;;;
1E+91;155;;;;;;;;;;;;;;;;
1E+92;157;;;;;;;;;;;;;;;;
1E+93;159;;;;;;;;;;;;;;;;
1E+94;160;;;;;;;;;;;;;;;;
1E+95;162;;;;;;;;;;;;;;;;
1E+96;164;;;;;;;;;;;;;;;;
1E+97;165;;;;;;;;;;;;;;;;
1E+98;167;;;;;;;;;;;;;;;;
1E+99;169;;;;;;;;;;;;;;;;
