x;iteration;;;;;;;;;;;;;;;;;
1,00E+16;31;;;;;;;;;;;;;;;;;
1,00E+17;32;;;;;;;;;;;;;;;;;
1,00E+18;34;;;;;;;;;;;;;;;;;
1,00E+19;36;;;;;;;;;;;;;;;;;
1,00E+20;37;;;;;;;;;;;;;;;;;
1,00E+21;39;;;;;;;;;;;;;;;;;
1,00E+22;41;;;;;;;;;;;;;;;;;
1,00E+23;42;;;;;;;;;;;;;;;;;
1,00E+24;44;;;;;;;;;;;;;;;;;
1,00E+25;46;;;;;;;;;;;;;;;;;
1,00E+26;47;;;;;;;;;;;;;;;;;
1,00E+27;49;;;;;;;;;;;;;;;;;
1,00E+28;51;;;;;;;;;;;;;;;;;
1,00E+29;52;;;;;;;;;;;;;;;;;
1,00E+30;54;;;;;;;;;;;;;;;;;
1,00E+31;56;;;;;;;;;;;;;;;;;
1,00E+32;57;;;;;;;;;;;;;;;;;
1,00E+33;59;;;;;;;;;;;;;;;;;
1,00E+34;61;;;;;;;;;;;;;;;;;
1,00E+35;62;;;;;;;;;;;;;;;;;
1,00E+36;64;;;;;;;;;;;;;;;;;
1,00E+37;66;;;;;;;;;;;;;;;;;
1,00E+38;67;;;;;;;;;;;;;;;;;
1,00E+39;69;;;;;;;;;;;;;;;;;
1,00E+40;71;;;;;;;;;;;;;;;;;
1,00E+41;72;;;;;;;;;;;;;;;;;
1,00E+42;74;;;;;;;;;;;;;;;;;
1,00E+43;75;;;;;;;;;;;;;;;;;
1,00E+44;77;;;;;;;;;;;;;;;;;
1,00E+45;79;;;;;;;;;;;;;;;;;
1,00E+46;80;;;;;;;;;;;;;;;;;
1,00E+47;82;;;;;;;;;;;;;;;;;
1,00E+48;84;;;;;;;;;;;;;;;;;
1,00E+49;85;;;;;;;;;;;;;;;;;
1,00E+50;87;;;;;;;;;;;;;;;;;
1,00E+51;89;;;;;;;;;;;;;;;;;
1,00E+52;90;;;;;;;;;;;;;;;;;
1,00E+53;92;;;;;;;;;;;;;;;;;
1,00E+54;94;;;;;;;;;;;;;;;;;
1,00E+55;95;;;;;;;;;;;;;;;;;
1,00E+56;97;;;;;;;;;;;;;;;;;
1,00E+57;99;;;;;;;;;;;;;;;;;
1,00E+58;100;;;;;;;;;;;;;;;;;
1,00E+59;102;;;;;;;;;;;;;;;;;
1,00E+60;104;;;;;;;;;;;;;;;;;
1,00E+61;105;;;;;;;;;;;;;;;;;
1,00E+62;107;;;;;;;;;;;;;;;;;
1,00E+63;109;;;;;;;;;;;;;;;;;
1,00E+64;110;;;;;;;;;;;;;;;;;
1,00E+65;112;;;;;;;;;;;;;;;;;
1,00E+66;114;;;;;;;;;;;;;;;;;
1,00E+67;115;;;;;;;;;;;;;;;;;
1,00E+68;117;;;;;;;;;;;;;;;;;
1,00E+69;119;;;;;;;;;;;;;;;;;
1,00E+70;120;;;;;;;;;;;;;;;;;
1,00E+71;122;;;;;;;;;;;;;;;;;
1,00E+72;124;;;;;;;;;;;;;;;;;
1,00E+73;125;;;;;;;;;;;;;;;;;
1,00E+74;127;;;;;;;;;;;;;;;;;
1,00E+75;129;;;;;;;;;;;;;;;;;
1,00E+76;130;;;;;;;;;;;;;;;;;
1,00E+77;132;;;;;;;;;;;;;;;;;
1,00E+78;134;;;;;;;;;;;;;;;;;
1,00E+79;135;;;;;;;;;;;;;;;;;
1,00E+80;137;;;;;;;;;;;;;;;;;
1,00E+81;139;;;;;;;;;;;;;;;;;
1,00E+82;140;;;;;;;;;;;;;;;;;
1,00E+83;142;;;;;;;;;;;;;;;;;
1,00E+84;144;;;;;;;;;;;;;;;;;
1,00E+85;145;;;;;;;;;;;;;;;;;
1,00E+86;147;;;;;;;;;;;;;;;;;
1,00E+87;149;;;;;;;;;;;;;;;;;
1,00E+88;150;;;;;;;;;;;;;;;;;
1,00E+89;152;;;;;;;;;;;;;;;;;
1,00E+90;154;;;;;;;;;;;;;;;;;
1,00E+91;155;;;;;;;;;;;;;;;;;
1,00E+92;157;;;;;;;;;;;;;;;;;
1,00E+93;159;;;;;;;;;;;;;;;;;
1,00E+94;160;;;;;;;;;;;;;;;;;
1,00E+95;162;;;;;;;;;;;;;;;;;
1,00E+96;164;;;;;;;;;;;;;;;;;
1,00E+97;165;;;;;;;;;;;;;;;;;
1,00E+98;167;;;;;;;;;;;;;;;;;
1,00E+99;169;;;;;;;;;;;;;;;;;
